ID,Date,Game,Earnings,Players,Tournaments
5399,2019-08-01,PLAYERUNKNOWNS BATTLEGROUNDS,544068.51,156,4
5400,2019-08-01,FIFA 19,530388.57,49,3
5401,2019-08-01,Hearthstone,528540.0,175,3
5402,2019-08-01,Counter-Strike: Global Offensive,359173.58,516,48
5403,2019-08-01,Apex Legends,354873.0,166,5
5404,2019-08-01,StarCraft II,175909.79,139,42
5405,2019-08-01,Rocket League,170561.35,79,17
5406,2019-08-01,Super Smash Bros. Ultimate,131760.59,347,83
5407,2019-08-01,Street Fighter V: Arcade Edition,70749.17,14,3
5408,2019-08-01,Ring of Elysium,60000.0,3,1
5409,2019-08-01,Multigaming,59109.7,8,1
5410,2019-08-01,iRacing.com,53330.0,44,3
5411,2019-08-01,Samurai Shodown (2019),47290.0,8,1
5412,2019-08-01,Tekken 7,33777.62,32,8
5413,2019-08-01,Super Smash Bros. Melee,31964.45,80,12
5414,2019-08-01,Mortal Kombat 11,31770.0,24,3
5415,2019-08-01,Brawlhalla,25500.0,41,6
5416,2019-08-01,Halo 3,25000.0,17,1
5417,2019-08-01,Chess.com,23400.01,23,3
5418,2019-08-01,Dragon Ball FighterZ,23052.98,22,3
5419,2019-08-01,Magic: The Gathering Arena,20000.0,28,5
5420,2019-08-01,Minecraft,20000.0,4,2
5421,2019-08-01,Asphalt 9: Legends,19620.0,3,1
5422,2019-08-01,Dota Underlords,16860.92,14,3
5423,2019-08-01,Age of Empires II,16009.43,51,11
5424,2019-08-01,Farming Simulator 19,13351.37,24,1
5425,2019-08-01,Under Night In-Birth EXE: Late[st],12132.59,17,3
5426,2019-08-01,WarCraft III,12070.39,36,5
5427,2019-08-01,Shadowverse,11900.0,24,3
5428,2019-08-01,Heroes of the Storm,11109.72,75,2
5429,2019-08-01,rFactor 2,10260.0,23,3
5430,2019-08-01,Call of Duty: Blackout,10000.0,12,1
5431,2019-08-01,Assetto Corsa,9797.5,5,2
5432,2019-08-01,Battalion 1944,8000.0,15,2
5433,2019-08-01,Team Fortress 2,7657.07,38,2
5434,2019-08-01,Soul Calibur VI,7460.0,8,1
5435,2019-08-01,Million Arthur: Arcana Blood,7000.0,3,1
5436,2019-08-01,CrossFire,6840.0,40,1
5437,2019-08-01,BlazBlue: Cross Tag Battle,6728.57,11,2
5438,2019-08-01,Super Smash Bros. for Wii U,5840.0,12,2
5439,2019-08-01,Quake Champions,5286.91,6,1
5440,2019-08-01,Super Smash Bros.,4230.0,20,2
5441,2019-08-01,Brawl Stars,3600.0,13,3
5442,2019-08-01,Super Smash Bros. Brawl,2340.0,12,2
5443,2019-08-01,Project Cars 2,2000.0,10,4
5444,2019-08-01,Naruto Shippuden: Ultimate Ninja Storm 4,1700.0,5,2
5445,2019-08-01,StarCraft: Brood War,1520.0,7,1
5446,2019-08-01,Guilty Gear Xrd REV 2,1227.08,9,2
5447,2019-08-01,FIFA 20,1000.0,1,1
5448,2019-08-01,BlazBlue: Central Fiction,725.0,3,1
5449,2019-08-01,Artifact,628.0,6,4
5450,2019-08-01,Puyo Puyo Tetris,621.08,9,2
5451,2019-08-01,Vampire Savior,590.0,3,1
5452,2019-08-01,King of Fighters XIV,530.0,3,1
5453,2019-08-01,Age of Empires III,500.0,7,3
5454,2019-08-01,Kill la Kill the Game: IF,470.0,3,1
5455,2019-08-01,TrackMania 2: Stadium,389.82,8,3
5456,2019-08-01,Melty Blood: Actress Again Current Code,345.0,3,1
5457,2019-08-01,Teenage Mutant Ninja Turtles: Tournament Fighters,320.0,4,1
